WindowSize,Modality,F1_samples_mean,F1_samples_std,AUROC_macro_mean,AUROC_macro_std,Kappa_macro_mean,Kappa_macro_std,Hamming_loss_mean,Hamming_loss_std,AUROC_Optimistic_mean,AUROC_Optimistic_std,AUROC_Curious_mean,AUROC_Curious_std,AUROC_Confused_mean,AUROC_Confused_std,AUROC_Conflicted_mean,AUROC_Conflicted_std,AUROC_Surprised_mean,AUROC_Surprised_std,AUROC_Disengaged_mean,AUROC_Disengaged_std,AUROC_Frustrated_mean,AUROC_Frustrated_std,AUROC_Engaged_mean,AUROC_Engaged_std
10s,prosody,0.02996552754304692,0.06240190343006169,0.4461394462685953,0.05870378541545778,-0.0005181765213217684,0.018082068289838694,0.13809106599804274,0.0201042227071696,0.4637743632016112,0.11274224542198259,0.5022244956580626,0.11366486204329333,0.5070423728318466,0.15408296633652932,0.4176546242400614,0.172834261588547,0.42506712216559184,0.2545914284289123,0.40381614188215464,0.19483382997084955,0.3963078396699086,0.09755448295870706,0.345223063973064,0.1405439565539065
10s,text,0.035329764980927776,0.03940810406910031,0.552061187599592,0.05364801536479178,0.019711647322925338,0.04620162199047217,0.1359558138627906,0.0220977324289335,0.5405197670688922,0.11285764580612541,0.614742310745481,0.15995953268124702,0.5461158729725982,0.12923345465499667,0.6118672380897721,0.2116884356112084,0.5821020560294016,0.23188060922177378,0.5252127862350876,0.22271978703715056,0.43202797202797205,0.1306393697641687,0.428398569023569,0.24935724350066563
10s,combined,0.033806130705355514,0.040302484224292646,0.5339492804005688,0.05977989387132768,0.018969214549396443,0.04120945415912673,0.13659446784446783,0.023667555626542557,0.5422184603665207,0.1354662790638908,0.5763445790470724,0.1941768595969318,0.5632725083017481,0.12044362927518779,0.5832910641425134,0.22584866937158435,0.5546648550724638,0.2185667461467469,0.5128369795324351,0.19692619357931737,0.40600072341451643,0.09955391193151474,0.3529741863075196,0.2515847932187747
