mode,pos_class,neg_class,n_pos,n_neg,feature_type,model,auroc,f1,precision,recall,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
pos_vs_neg,Positive,Negative,140,129,prosodic,LogisticRegression,0.4545404208194906,0.5068493150684932,0.4868421052631579,0.5285714285714286,0.7080745341614907,0.7023809523809524,0.5503472222222223,0.328125,0.6133333333333333,0.5616883116883117,0.4692307692307693,0.3522267206477733,0.3657407407407407
pos_vs_neg,Positive,Negative,140,129,prosodic,RandomForest,0.4131506090808416,0.5607476635514018,0.4972375690607735,0.6428571428571429,0.5403726708074534,0.3928571428571429,0.6788194444444444,0.34895833333333337,0.6222222222222222,0.5162337662337663,0.5307692307692308,0.27125506072874495,0.35185185185185186
pos_vs_neg,Positive,Negative,140,129,prosodic,SVM,0.38986710963455146,0.5584415584415584,0.5119047619047619,0.6142857142857143,0.5093167701863354,0.443452380952381,0.6545138888888888,0.19270833333333331,0.5866666666666667,0.5681818181818182,0.4538461538461539,0.2793522267206478,0.5092592592592593
pos_vs_neg,Positive,Negative,140,129,transcript,LogisticRegression,0.48931339977851607,0.5017667844522968,0.4965034965034965,0.5071428571428571,0.5838509316770186,0.25,0.46354166666666663,0.734375,0.48666666666666675,0.4383116883116883,0.8,0.5506072874493927,0.5972222222222222
pos_vs_neg,Positive,Negative,140,129,transcript,RandomForest,0.5361295681063123,0.5656565656565656,0.535031847133758,0.6,0.6086956521739131,0.5059523809523809,0.703125,0.5260416666666667,0.5666666666666667,0.5616883116883117,0.7384615384615385,0.5587044534412956,0.6388888888888888
pos_vs_neg,Positive,Negative,140,129,transcript,SVM,0.5323089700996677,0.5300353356890459,0.5244755244755245,0.5357142857142857,0.5807453416149069,0.4821428571428572,0.7413194444444444,0.5885416666666667,0.5955555555555555,0.4383116883116883,0.8692307692307693,0.5465587044534413,0.6759259259259259
pos_vs_neg,Positive,Negative,140,129,combined,LogisticRegression,0.474640088593577,0.5259515570934256,0.5100671140939598,0.5428571428571428,0.40993788819875776,0.3392857142857143,0.4809027777777778,0.7864583333333333,0.49777777777777776,0.4253246753246753,0.8692307692307694,0.43724696356275305,0.5601851851851852
pos_vs_neg,Positive,Negative,140,129,combined,RandomForest,0.5007475083056478,0.5365853658536586,0.5238095238095238,0.55,0.5652173913043479,0.6071428571428571,0.6336805555555556,0.4947916666666667,0.6222222222222222,0.4577922077922078,0.5846153846153846,0.6477732793522267,0.7037037037037037
pos_vs_neg,Positive,Negative,140,129,combined,SVM,0.503516057585825,0.5517241379310345,0.5333333333333333,0.5714285714285714,0.4751552795031056,0.5252976190476191,0.7465277777777778,0.578125,0.5888888888888889,0.5227272727272727,0.8384615384615385,0.5263157894736842,0.6435185185185186
pos_vs_neg,Positive,Negative,140,129,combined-pca-50,LogisticRegression,0.5024363233665559,0.5503355704697986,0.5189873417721519,0.5857142857142857,0.5527950310559007,0.6547619047619048,0.7100694444444444,0.796875,0.5888888888888889,0.4967532467532467,0.676923076923077,0.3562753036437247,0.513888888888889
