WindowSize,Modality,F1_samples_mean,F1_samples_std,AUROC_macro_mean,AUROC_macro_std,Kappa_macro_mean,Kappa_macro_std,Hamming_loss_mean,Hamming_loss_std,AUROC_Optimistic_mean,AUROC_Optimistic_std,AUROC_Curious_mean,AUROC_Curious_std,AUROC_Confused_mean,AUROC_Confused_std,AUROC_Conflicted_mean,AUROC_Conflicted_std,AUROC_Surprised_mean,AUROC_Surprised_std,AUROC_Disengaged_mean,AUROC_Disengaged_std,AUROC_Frustrated_mean,AUROC_Frustrated_std,AUROC_Engaged_mean,AUROC_Engaged_std
5s,prosody,0.0381916764713011,0.044437096433684854,0.45580161754581006,0.09121859919400827,0.02094444383711634,0.04078491334360734,0.1376798203113624,0.023669138443492936,0.6078052959396977,0.11889281163192117,0.5218632753202684,0.14521789194523932,0.48063219918483074,0.12321022697233049,0.3988099256734456,0.18377065017940827,0.3721747602190653,0.24368246848609867,0.47434477124183,0.13534673249129395,0.31762048784044505,0.0724659721379769,0.3367965367965368,0.2455715228560518
5s,text,0.035297724625210004,0.05098951807518228,0.5600787894606211,0.0982815779928472,0.020916358563856208,0.04575945277389781,0.13560870504693268,0.02435755596177267,0.5096751844780834,0.100173081298311,0.580586347673336,0.1601593350676345,0.45136355197758715,0.15031394142650695,0.6354801553052473,0.2869343131914017,0.5759739997183242,0.15553691831914193,0.5854133986928104,0.18341107988811675,0.541272553786961,0.20369154965079758,0.8438722197342887,0.05295858050790809
5s,combined,0.017701912438754543,0.03524825264975225,0.5622113337979692,0.0712797998583976,0.013847035369498554,0.03717976785864675,0.13639357251674167,0.022658399252311216,0.5540450847239771,0.14457600202481696,0.5797024653384303,0.18219076731647307,0.43000120250120255,0.13345391072247684,0.6980820933190768,0.2665928259569655,0.5316032698673595,0.16246343602527447,0.5665277777777777,0.14767514188537015,0.5577416557297976,0.24999504431332928,0.7058043489077971,0.08981970812226389
