state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
Optimistic,81,prosodic,LogisticRegression,0.5518061271147691,0.02493786899745572,0.5537871664681668,0.02451370159131902,0.5388531009220664,0.03615499946924458,0.5703703703703702,0.016378394026446426,0.7154212454212454,0.579047619047619,0.2694885361552028,0.6928571428571428,0.5290719158476789,0.6557142857142857,0.6447619047619048,0.573968253968254,0.5322619047619048
Optimistic,81,prosodic,RandomForest,0.5103642737387594,0.05864196292919055,0.5365705099267573,0.02744399202278076,0.5143874353622742,0.03580606220713607,0.5629629629629629,0.03711925031697013,0.3732478632478633,0.6319047619047619,0.7047586980920315,0.4621428571428572,0.5881522944105871,0.5112380952380953,0.5330952380952381,0.5104761904761904,0.5296428571428571
Optimistic,81,prosodic,SVM,0.4548544429202865,0.08673379341333348,0.5320344087913261,0.036494020184771554,0.5281280164159372,0.0464608645974431,0.5407407407407409,0.05375689149895616,0.5283638583638585,0.5545238095238096,0.5809042809042809,0.4564285714285715,0.5907327524311159,0.5112380952380953,0.5313095238095238,0.45730158730158726,0.6190476190476191
Optimistic,81,transcript,LogisticRegression,0.585932022557537,0.030682157944179,0.5504098793883794,0.04666896312508753,0.5635329691569975,0.039039890436968434,0.5382716049382716,0.05387018328215169,0.32442002442002443,0.7016666666666668,0.624582331248998,0.6207142857142858,0.6232908474394543,0.6547619047619049,0.5945238095238095,0.5585714285714286,0.5842857142857143
Optimistic,81,transcript,RandomForest,0.49551897576588944,0.0185179477345404,0.50496301885692,0.03930076976534561,0.5153555832062808,0.023091631475238104,0.4962962962962963,0.055979180487677214,0.42495726495726494,0.6220238095238095,0.5915215648548983,0.4985714285714285,0.6188033107980034,0.5443333333333333,0.526547619047619,0.4738888888888889,0.5940476190476192
Optimistic,81,transcript,SVM,0.5230147843316567,0.026700488562459664,0.5389963669494674,0.016909716555497303,0.5741095186598462,0.015147118815174372,0.508641975308642,0.026363156177855108,0.43687423687423693,0.7071428571428572,0.6412970979637647,0.5507142857142857,0.6396370988586823,0.593,0.5197619047619048,0.5687301587301586,0.6298809523809524
Optimistic,81,combined,LogisticRegression,0.5663770766651425,0.022604654260515958,0.506153461871206,0.022637386808896855,0.5249779321498861,0.018941376365144025,0.4888888888888888,0.027715980642769953,0.3981196581196581,0.6680952380952382,0.5520699054032387,0.5628571428571428,0.6820843169803807,0.6146666666666667,0.6185714285714285,0.6220634920634922,0.5479761904761905
Optimistic,81,combined,RandomForest,0.5036122542295383,0.01883859167809786,0.4854619736538937,0.026201824463607894,0.5094317113285413,0.023383103914505134,0.46419753086419746,0.03181258944870403,0.41210012210012203,0.6727380952380952,0.52331569664903,0.48392857142857143,0.59285388796667,0.5802380952380952,0.6389285714285715,0.5565079365079365,0.5161309523809524
Optimistic,81,combined,SVM,0.5056241426611797,0.03108827829613962,0.5089262124994609,0.04801501942676735,0.5441641815477745,0.042617235713596664,0.4790123456790124,0.05543196128553989,0.4156532356532357,0.7335714285714285,0.6157736091069425,0.5357142857142856,0.6403041599414886,0.5732380952380953,0.5333333333333334,0.5615873015873016,0.5903571428571428
Confused,58,prosodic,LogisticRegression,0.515755053507729,0.037872094777907477,0.5117517020303397,0.032233781982563436,0.5103801495939994,0.030068016786232964,0.5137931034482758,0.038398374916069115,0.5296825396825398,0.45818181818181813,0.3075,0.6398941798941798,0.6767460317460318,0.7032921245421246,0.54125,0.33511111111111114,0.3555555555555555
Confused,58,prosodic,RandomForest,0.4905172413793103,0.05698119535575391,0.4240877841540285,0.07633956484255093,0.48230755637237577,0.07536617835965262,0.3793103448275862,0.07633084007302986,0.5027777777777778,0.3672727272727272,0.39611111111111114,0.6389417989417989,0.7118968253968253,0.6688301282051283,0.495625,0.3017777777777778,0.6466666666666667
Confused,58,prosodic,SVM,0.4333531510107016,0.07241653872714084,0.5140570121284062,0.05763227923013,0.5414034661309796,0.061938541637414704,0.49655172413793097,0.08404177659968237,0.5146428571428572,0.46121212121212124,0.34625000000000006,0.3841269841269842,0.6148095238095239,0.6230402930402931,0.5037499999999999,0.3804444444444445,0.6399999999999999
Confused,58,transcript,LogisticRegression,0.4776456599286563,0.05131537196674773,0.46156837446833227,0.04117490940005473,0.4857464415756372,0.05135813927212894,0.4413793103448276,0.04166567577101577,0.24206349206349204,0.533030303030303,0.4033333333333333,0.2762962962962963,0.6522380952380952,0.4593818681318681,0.46125,0.5777777777777777,0.2577777777777778
Confused,58,transcript,RandomForest,0.4101961950059453,0.06580529524030514,0.40538492490150746,0.05498771822500971,0.43141262969834393,0.056521780208793955,0.38275862068965516,0.0549564739672732,0.429484126984127,0.5266666666666667,0.3619444444444444,0.17185185185185184,0.5632539682539682,0.3225686813186813,0.484375,0.5315555555555556,0.09333333333333334
Confused,58,transcript,SVM,0.42045184304399524,0.059174914294372195,0.41202177889779723,0.06088699769398018,0.45901200350290716,0.06729204902105744,0.37586206896551727,0.06487892318009236,0.44908730158730154,0.33939393939393936,0.34500000000000003,0.5146560846560846,0.5223571428571429,0.4691941391941392,0.6175,0.6964444444444444,0.27555555555555555
