Model,Accuracy,F1 (macro),F1 (weighted),Kappa,AUROC (macro)
Early Fusion RF (TF-IDF + Prosodic),0.22727272727272727,0.1012987012987013,0.20035419126328216,0.009125699146305566,0.5050241904807533
Late Fusion (Text + Prosodic Voting),0.2727272727272727,0.12461239413153144,0.24031353475515088,0.06548672566371672,0.4969740248576604
Stacking Ensemble (RF + SVM -> LR),0.10606060606060606,0.0664021164021164,0.12271123937790605,-0.008024851151954504,0.46396833222526296
