WindowSize,Modality,F1_samples_mean,F1_samples_std,AUROC_macro_mean,AUROC_macro_std,Kappa_macro_mean,Kappa_macro_std,Hamming_loss_mean,Hamming_loss_std,AUROC_Optimistic_mean,AUROC_Optimistic_std,AUROC_Curious_mean,AUROC_Curious_std,AUROC_Confused_mean,AUROC_Confused_std,AUROC_Conflicted_mean,AUROC_Conflicted_std,AUROC_Surprised_mean,AUROC_Surprised_std,AUROC_Disengaged_mean,AUROC_Disengaged_std,AUROC_Frustrated_mean,AUROC_Frustrated_std,AUROC_None_mean,AUROC_None_std
5s,prosody,0.0508386566866099,0.04190113651874191,0.47892154008410187,0.07602599004661441,0.014008780140035614,0.03107551063873895,0.14670572127486473,0.024346361659408313,0.6123761218205661,0.13887578672631673,0.4980912450572102,0.16675110318605346,0.4246033467534729,0.09540155702027431,0.5137649957219943,0.22631191183244803,0.4448847558779647,0.2492625244027655,0.47980974250382713,0.07966483389571066,0.30403897849462364,0.10773743604222973,,
5s,text,0.039028453486657816,0.05571565403637012,0.5598323539625991,0.07559295057882233,0.02071704912075509,0.0523940926131529,0.14382265080407494,0.019905478048756146,0.5339073272406606,0.11590687296026146,0.5635282321527745,0.17778056819900984,0.43612058937423,0.15614926180681568,0.6371776071115792,0.24798828703602133,0.6212782536742638,0.21066853987869225,0.5871882132937326,0.1737156742584349,0.5746851580319322,0.21937996717187963,,
5s,combined,0.01823185414516684,0.03582199118526264,0.5595626479981829,0.055164146251801466,0.011118027658352661,0.040294741050013676,0.1449253121415144,0.017252354319715387,0.5533618850285517,0.1341249205075115,0.58797301525617,0.136359788396818,0.4412981721623219,0.09986699417390754,0.6584869972334216,0.20883523457412667,0.5462271269571779,0.17817656103924331,0.55581942267323,0.2118004722810519,0.5792683895405669,0.21101280922256285,,
