Modality,Features,F1 (samples),F1 (macro),AUROC,Kappa,Hamming Loss
Prosody Only,88,0.0787 ± 0.1167,0.0323 ± 0.0342,0.4793 ± 0.0425,-0.0059 ± nan,0.1531 ± 0.0174
Text Only,100,0.0566 ± 0.0379,0.0391 ± 0.0227,0.5354 ± 0.0326,0.0309 ± nan,0.1503 ± 0.0226
Prosody + Text,188,0.0447 ± 0.0601,0.0251 ± 0.0317,0.4718 ± 0.0536,0.0037 ± nan,0.1518 ± 0.0167
