state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
Optimistic,81,prosodic,LogisticRegression,0.5518061271147691,0.02493786899745572,0.5537871664681668,0.02451370159131902,0.5388531009220664,0.03615499946924458,0.5703703703703702,0.016378394026446426
Optimistic,81,prosodic,RandomForest,0.5103642737387594,0.05864196292919055,0.5365705099267573,0.02744399202278076,0.5143874353622742,0.03580606220713607,0.5629629629629629,0.03711925031697013
Optimistic,81,prosodic,SVM,0.4548544429202865,0.08673379341333348,0.5320344087913261,0.036494020184771554,0.5281280164159372,0.0464608645974431,0.5407407407407409,0.05375689149895616
Optimistic,81,transcript,LogisticRegression,0.4545953360768175,0.0625022646785056,0.4666592666592666,0.056773538944883684,0.48004613734594664,0.05658530269289338,0.45432098765432105,0.05811655454785095
Optimistic,81,transcript,RandomForest,0.4012345679012346,0.0380491299026408,0.3707922186533496,0.05385513916880603,0.4107088985664392,0.05553699652172627,0.3382716049382716,0.052726312355710174
Optimistic,81,transcript,SVM,0.3945892394452065,0.027157029611003258,0.4294280708088406,0.03666812196953297,0.4607094622529699,0.046721766501249345,0.4024691358024691,0.029834681416282892
Optimistic,81,combined,LogisticRegression,0.47407407407407415,0.051101502840866876,0.48532871086799706,0.037980611135732735,0.49796109912908265,0.0408074666321409,0.47407407407407404,0.04027038624765455
Optimistic,81,combined,RandomForest,0.43304374333180917,0.029707812060839684,0.40027005913652014,0.027986804325143885,0.44282188357464153,0.02677262268613853,0.36543209876543215,0.029834681416282892
Optimistic,81,combined,SVM,0.38894985520499925,0.0448890352785218,0.419528079744798,0.023284533812972283,0.4475705106853667,0.029426973858073857,0.3950617283950617,0.02065827226010063
Confused,58,prosodic,LogisticRegression,0.515755053507729,0.037872094777907477,0.5117517020303397,0.032233781982563436,0.5103801495939994,0.030068016786232964,0.5137931034482758,0.038398374916069115
Confused,58,prosodic,RandomForest,0.4905172413793103,0.05698119535575391,0.4240877841540285,0.07633956484255093,0.48230755637237577,0.07536617835965262,0.3793103448275862,0.07633084007302986
Confused,58,prosodic,SVM,0.4333531510107016,0.07241653872714084,0.5140570121284062,0.05763227923013,0.5414034661309796,0.061938541637414704,0.49655172413793097,0.08404177659968237
Confused,58,transcript,LogisticRegression,0.46926278240190256,0.05086956519374809,0.47481210060806234,0.03821136372875983,0.4932088568555712,0.039272469980491276,0.45862068965517233,0.041665675771015785
Confused,58,transcript,RandomForest,0.4249702734839477,0.07612167354808666,0.4083235746272137,0.058666163904285536,0.44159242644426194,0.04205409015577393,0.38275862068965516,0.07183678157241262
Confused,58,transcript,SVM,0.4533293697978597,0.062301841940821515,0.4561792748818587,0.027026798829867502,0.4911834025538627,0.041664124442126624,0.4275862068965518,0.027586206896551713
Confused,58,combined,LogisticRegression,0.4784780023781213,0.042311432705676326,0.4650867127279155,0.02310977863519285,0.4878934094283789,0.03145464441420803,0.44482758620689655,0.020106730671880367
Confused,58,combined,RandomForest,0.4403686087990487,0.08329348579762678,0.45452142927843686,0.05573756547159205,0.47926581487780995,0.06831594637600341,0.4344827586206896,0.054956473967273184
Confused,58,combined,SVM,0.44369797859690846,0.04989544138252395,0.47133238501659563,0.04648470860042413,0.5252710462718666,0.03342185527524185,0.43103448275862066,0.061684633862063167
Curious,49,prosodic,LogisticRegression,0.4803831736776344,0.049221382696054285,0.4911938548615322,0.0305400113736298,0.4889474657787643,0.03643087254412697,0.4938775510204082,0.027074488084533888
Curious,49,prosodic,RandomForest,0.4476468138275719,0.010269406452073792,0.4708840668174791,0.05440426224327352,0.4602956150263841,0.02925916865630971,0.48571428571428577,0.08404596033458774
Curious,49,prosodic,SVM,0.36934610578925453,0.05939863728455205,0.44944085795878924,0.04411020589793859,0.4597461808708009,0.02954727332679112,0.4408163265306122,0.05858244936492786
Curious,49,transcript,LogisticRegression,0.5589337775926697,0.05504142236130358,0.5513450834879408,0.04106852681357062,0.5518228397742077,0.046345443578050205,0.5510204081632655,0.03650723228571084
Curious,49,transcript,RandomForest,0.6222823823406914,0.022686224307657765,0.5606621261746438,0.032829034504164946,0.6063504443183967,0.04749427962923354,0.5224489795918368,0.027682979522960272
Curious,49,transcript,SVM,0.5797167846730528,0.020825655952687507,0.5490847297112631,0.036559643509403834,0.6484768649474532,0.04948912994749469,0.47755102040816333,0.03785150406324777
Curious,49,combined,LogisticRegression,0.551603498542274,0.046672956552013284,0.5416069260042595,0.03439924855689162,0.548870172490828,0.039820208178042854,0.5346938775510204,0.02999375195244706
Curious,49,combined,RandomForest,0.6223240316534777,0.024405431160820022,0.5789496297563674,0.015199722051181273,0.6268473555430077,0.02692501611177002,0.5387755102040817,0.020812324545276647
Curious,49,combined,SVM,0.5622240733027905,0.02886102044423745,0.5362549072161698,0.028437864531852142,0.6354978354978355,0.03971374871404229,0.46530612244897956,0.03265306122448979
